Section Name,Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Bulk density (GRA),Instrument,Instrument group,Text ID,Test No.,Bulkier Density (GRA),Comments
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,57.7,0.577,0.573,0.675,GRA2,STMSL,SECT2109181,16803341,0.675,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,60.2,0.602,0.598,0.669,GRA2,STMSL,SECT2109181,16803341,0.669,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,62.7,0.627,0.623,0.7,GRA2,STMSL,SECT2109181,16803341,0.7,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,65.2,0.652,0.648,0.623,GRA2,STMSL,SECT2109181,16803341,0.623,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,67.8,0.678,0.673,0.628,GRA2,STMSL,SECT2109181,16803341,0.628,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,70.3,0.703,0.698,0.585,GRA2,STMSL,SECT2109181,16803341,0.585,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,72.8,0.728,0.723,0.618,GRA2,STMSL,SECT2109181,16803341,0.618,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,75.3,0.753,0.748,0.664,GRA2,STMSL,SECT2109181,16803341,0.664,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,77.8,0.778,0.773,0.633,GRA2,STMSL,SECT2109181,16803341,0.633,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,80.3,0.803,0.798,0.631,GRA2,STMSL,SECT2109181,16803341,0.631,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,82.8,0.828,0.822,0.639,GRA2,STMSL,SECT2109181,16803341,0.639,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,85.3,0.853,0.847,0.618,GRA2,STMSL,SECT2109181,16803341,0.618,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,87.8,0.878,0.872,0.623,GRA2,STMSL,SECT2109181,16803341,0.623,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,90.3,0.903,0.897,0.65,GRA2,STMSL,SECT2109181,16803341,0.65,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,92.8,0.928,0.922,0.621,GRA2,STMSL,SECT2109181,16803341,0.621,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,95.4,0.954,0.948,0.633,GRA2,STMSL,SECT2109181,16803341,0.633,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,97.9,0.979,0.972,0.68,GRA2,STMSL,SECT2109181,16803341,0.68,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,100.4,1.004,0.997,0.705,GRA2,STMSL,SECT2109181,16803341,0.705,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,102.9,1.029,1.022,0.697,GRA2,STMSL,SECT2109181,16803341,0.697,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,105.4,1.054,1.047,0.676,GRA2,STMSL,SECT2109181,16803341,0.676,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,107.9,1.079,1.072,0.675,GRA2,STMSL,SECT2109181,16803341,0.675,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,110.4,1.104,1.097,0.651,GRA2,STMSL,SECT2109181,16803341,0.651,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,112.9,1.129,1.121,0.609,GRA2,STMSL,SECT2109181,16803341,0.609,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,115.4,1.154,1.146,0.639,GRA2,STMSL,SECT2109181,16803341,0.639,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,117.9,1.179,1.171,0.623,GRA2,STMSL,SECT2109181,16803341,0.623,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,120.4,1.204,1.196,0.602,GRA2,STMSL,SECT2109181,16803341,0.602,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,123,1.23,1.222,0.626,GRA2,STMSL,SECT2109181,16803341,0.626,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,125.5,1.255,1.247,0.674,GRA2,STMSL,SECT2109181,16803341,0.674,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,128,1.28,1.271,0.651,GRA2,STMSL,SECT2109181,16803341,0.651,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,130.5,1.305,1.296,0.661,GRA2,STMSL,SECT2109181,16803341,0.661,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,133,1.33,1.321,0.674,GRA2,STMSL,SECT2109181,16803341,0.674,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,135.5,1.355,1.346,0.669,GRA2,STMSL,SECT2109181,16803341,0.669,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,138,1.38,1.371,0.561,GRA2,STMSL,SECT2109181,16803341,0.561,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,140.5,1.405,1.396,0.64,GRA2,STMSL,SECT2109181,16803341,0.64,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,143,1.43,1.42,0.649,GRA2,STMSL,SECT2109181,16803341,0.649,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,145.5,1.455,1.445,0.675,GRA2,STMSL,SECT2109181,16803341,0.675,
318-U1357A-1H-1-A,318,U1357,A,1,H,1,A,148,1.48,1.47,0.651,GRA2,STMSL,SECT2109181,16803341,0.651,
